MICRO_AVG	False-Negative: 125.0	False-Positive: 125.0	True-Negative: 8082.0	True-Positive: 158.0
rel-examines(e2,e1)	False-Negative: 4.0	False-Positive: 0.0	True-Negative: 279.0	True-Positive: 0.0
rel-has_measure(e1,e2)	False-Negative: 0.0	False-Positive: 40.0	True-Negative: 212.0	True-Positive: 31.0
rel-treats(e1,e2)	False-Negative: 1.0	False-Positive: 0.0	True-Negative: 282.0	True-Positive: 0.0
rel-has_time_info(e1,e2)	False-Negative: 1.0	False-Positive: 1.0	True-Negative: 278.0	True-Positive: 3.0
rel-causes(e1,e2)	False-Negative: 1.0	False-Positive: 0.0	True-Negative: 282.0	True-Positive: 0.0
rel-examines(e1,e2)	False-Negative: 0.0	False-Positive: 0.0	True-Negative: 283.0	True-Positive: 0.0
rel-hasstate(e2,e1)	False-Negative: 4.0	False-Positive: 7.0	True-Negative: 258.0	True-Positive: 14.0
rel-is_linked_to(e1,e2)	False-Negative: 6.0	False-Positive: 28.0	True-Negative: 238.0	True-Positive: 11.0
rel-has_dosing(e1,e2)	False-Negative: 4.0	False-Positive: 0.0	True-Negative: 278.0	True-Positive: 1.0
rel-consequence(e2,e1)	False-Negative: 0.0	False-Positive: 0.0	True-Negative: 283.0	True-Positive: 0.0
rel-shows(e1,e2)	False-Negative: 11.0	False-Positive: 1.0	True-Negative: 262.0	True-Positive: 9.0
rel-hasstate(e1,e2)	False-Negative: 29.0	False-Positive: 2.0	True-Negative: 229.0	True-Positive: 23.0
rel-consequence(e1,e2)	False-Negative: 9.0	False-Positive: 0.0	True-Negative: 274.0	True-Positive: 0.0
rel-is_linked_to(e2,e1)	False-Negative: 5.0	False-Positive: 0.0	True-Negative: 278.0	True-Positive: 0.0
rel-is_specified(e2,e1)	False-Negative: 4.0	False-Positive: 0.0	True-Negative: 279.0	True-Positive: 0.0
rel-has_dosing(e2,e1)	False-Negative: 0.0	False-Positive: 0.0	True-Negative: 283.0	True-Positive: 0.0
rel-treats(e2,e1)	False-Negative: 2.0	False-Positive: 0.0	True-Negative: 281.0	True-Positive: 0.0
rel-shows(e2,e1)	False-Negative: 4.0	False-Positive: 0.0	True-Negative: 279.0	True-Positive: 0.0
rel-if_consequence(e2,e1)	False-Negative: 6.0	False-Positive: 0.0	True-Negative: 277.0	True-Positive: 0.0
rel-involves(e1,e2)	False-Negative: 2.0	False-Positive: 4.0	True-Negative: 275.0	True-Positive: 2.0
rel-has_time_info(e2,e1)	False-Negative: 0.0	False-Positive: 3.0	True-Negative: 273.0	True-Positive: 7.0
rel-affects(e1,e2)	False-Negative: 6.0	False-Positive: 0.0	True-Negative: 277.0	True-Positive: 0.0
rel-affects(e2,e1)	False-Negative: 3.0	False-Positive: 0.0	True-Negative: 280.0	True-Positive: 0.0
rel-involves(e2,e1)	False-Negative: 1.0	False-Positive: 5.0	True-Negative: 270.0	True-Positive: 7.0
rel-causes(e2,e1)	False-Negative: 1.0	False-Positive: 0.0	True-Negative: 282.0	True-Positive: 0.0
rel-has_measure(e2,e1)	False-Negative: 7.0	False-Positive: 2.0	True-Negative: 257.0	True-Positive: 17.0
rel-is_specified(e1,e2)	False-Negative: 5.0	False-Positive: 0.0	True-Negative: 278.0	True-Positive: 0.0
rel-is_located(e2,e1)	False-Negative: 6.0	False-Positive: 9.0	True-Negative: 261.0	True-Positive: 7.0
rel-is_located(e1,e2)	False-Negative: 1.0	False-Positive: 22.0	True-Negative: 235.0	True-Positive: 25.0
rel-if_consequence(e1,e2)	False-Negative: 2.0	False-Positive: 1.0	True-Negative: 279.0	True-Positive: 1.0
