RR 167
115 21
/ 225
70 39
, 3480
Puls 93
88 21
arrhythmisch 21
- 751
Heute 24
Vorstellung 30
bei 152
Kardiologen 21
im 160
Hause 54
. 2290
Miktion 43
normal 8
keine 919
Dysurie 49
Prograf 10
Spiegel 8
Zielbereich 2
Sono 273
: 871
Tx 226
Niere 203
unauffällig 287
Blase 6
kein 389
Restharn 3
nach 53
AZ 155
ganz 30
gut 90
Oedeme 123
Infektzeichen 30
Durchfall 30
Appetit 46
sehr 28
Urbason 37
abgesetzt 11
Wohlbefinden 32
Infekte 10
GI 4
Symptome 4
Hat 29
Gewicht 46
zugenommen 3
weiter 131
eher 18
hypotensiv 3
aber 35
toleriert 3
Bei 39
abendlichen 3
Ödemen 3
Torem 3
verordnet 3
unauffaellig 213
Dilatation 15
des 47
NBKS 71
ruecklaeufig 101
Magenschmerzen 42
Kreatinin 77
stabil 65
hoch 43
zu 90
allerdings 6
besser 28
Fragmin 2
Stau 144
Lymphozele 23
regredient 20
Haeufig 12
Stuhlgang 70
( 80
4 71
x 26
Tag 48
) 84
geformt 12
etwas 16
Beginn 12
mit 197
halber 12
Beloc 32
Zok 12
mite 12
ggf 12
Taubheitsgefuehl 1
in 154
den 10
Haenden 7
haben 14
nachgelassen 1
Keine 126
Fieber 4
recht 45
hart 12
Kreon 33
pausiert 12
Ausserdem 6
ab 18
und 461
Knochenschmerzen 13
Beinen 12
Fosamax 6
neu 27
mg 55
cardialen 2
Beschwerden 59
reduziert 49
Gute 6
Diurese 72
Kurzfritige 2
Kontrolle 35
Geht 24
laut 6
Protokoll 8
iO 34
Seit 22
geformter 6
Pat 11
Narbe 1
macht 1
noch 48
Cibacen 15
seit 39
03 60
07 43
da 16
Amlodipin 15
wegen 15
NW 15
wurde 36
Stabile 8
Funktion 29
Im 54
Mai 3
Reise 3
Afrika 3
Cipro 3
prophylaktisch 3
rezeptiert 3
um 3
140 4
mmHg 87
Ödeme 4
rückläufig 1
hat 28
heute 9
dem 35
Urologen 3
wg 3
Cortison 3
Myfortic 3
planmäßig 9
Kein 6
Übelkeit 50
Erbrechen 29
Bekannte 3
größenkonstant 3
5 6
cm 11
Befinden 20
Entlassung 23
verschlechtert 3
Krea 3
kurzfristige 13
Tacrolimus 1
Ordnung 1
TM 3
auf 180
2 13
Liter 3
erhöhen 3
Insgesamt 12
gutes 17
Kraempfe 12
gute 76
eingestellt 21
Nierenfunktion 16
Leberwerte 2
Subjektiv 5
zwischen 23
150 23
lt 3
Auto 1
.- 1
Messgeraet 1
verschrieben 2
WV 1
Jetzt 8
Calcium 6
Rocaltrol 6
Bitte 1
14 1
Tagen 1
Ca 1
erweitertes 15
Nierenbecken 15
wie 15
Vorbefunden 15
Haematom 15
perirenal 16
Problem 2
bitte 2
ca 26
einer 15
Woche 33
reduzieren 36
6mg 6
Transplantat 26
Patient 16
berichtet 37
über 256
Krämpfe 6
Bestehen 6
evl 6
Mg 1
versuchen 1
Valcyte 12
Cotrim 6
Aktuell 4
normotensive 3
Werte 22
Schiene 1
situ 4
einem 22
Jahr 16
an 54
Angstzuständen 16
leiden 16
sowie 70
Herzrasen 16
Verzweiflungsneigung 16
Erschöpfungszustände 16
Vegetative 3
Anamnese 3
vermindert 3
Einschlaf 3
Durchschlafstörungen 3
Allergien 1
bekannt 8
Risikofaktoren 3
Risikoverhalten 3
Nikotinkonsum 3
erhöhten 1
Cholesterinwerte 1
gelegentlich 1
körperliche 12
Bewegung 1
Beide 6
Eltern 6
gesund 6
Mutter 6
Jahre 12
alt 12
Vater 6
75 6
Jetzige 1
Die 56
Subjektive 1
Einschränkungen 1
Alltag 1
Beruf 1
fühlt 3
sich 135
der 174
Belastbarkeit 6
durch 13
die 92
o 9
b 3
deutlich 54
eingeschränkt 3
Therapie 63
Aufnahme 111
stationäre 39
erfolgte 58
zur 24
kardiologischen 11
Rehabilitationsbehandlung 11
Herzneurose 14
F45 14
3 18
ICD 14
10 61
normalem 66
BMI 66
22 67
psychischer 66
Status 67
labil 66
Cor 66
Blutdruck 85
100 68
60 66
56 66
min 86
regelmäßig 72
normale 36
Herztöne 36
vitientypischen 36
Geräusche 36
auskultierbar 46
Karotiden 36
Leistenarterien 36
beidseits 37
auskultatorisch 36
Pulmo 163
vesikuläres 156
Atemgeräusch 156
beiden 153
Lungen 153
RG 159
Abdomen 236
weich 208
Druckschmerz 211
Resistenzen 153
Darmgeräusche 218
regelrecht 153
Unterschenkelödeme 153
periphere 153
Pulse 153
seitengleich 153
tastbar 153
neurologische 209
Untersuchung 213
orientierend 153
Fähigkeits 1
Aktivitätseinschränkung 1
Schonungsverhalten 1
aufgrund 1
Hauptdiagnose 1
Psychosomatische 28
Diagnostik 47
HADS 28
Fragebogen 28
Angst 56
Depressivität 56
erhöht 37
15 31
von 92
21 65
Punkten 56
für 93
Labor 40
routinemäßigen 6
Laboruntersuchung 6
lagen 13
meisten 6
Normbereich 16
EKG 53
Sinusrhythmus 46
Linkstyp 3
Sonst 1
unauffälliger 1
Stromkurvenverlauf 1
Ergometrie 3
Fahrradergometer 3
Belastbar 3
25 6
W 3
bis 77
Min 3
HF 4
180 3
max 3
200 1
Durchgehend 28
höhergradige 57
Rhythmusstörung 42
AP 21
signifikante 21
ST 22
Veränderung 21
Unter 34
Belastung 6
Belastungsende 6
wesentlichen 8
Auffälligkeiten 6
Pulsverhalten 6
Strecken 1
Veränderungen 1
bzw 1
Angina 1
pectoris 1
LZ 11
am 179
2018 103
maximal 7
120 13
minimal 7
